Field Name,Field Description,Field Type
OBJECTID,ArcGIS Database Key  (auto-generated),Object ID
SHAPE,ArcGIS Spatial Feature Type  (auto-generated),Geometry
SID,Unique stand identifier,Text
INV_DATE,Inventory date,Text
ACRES,Stand acres,Double
AV_BA,Av. BA/Acre,Double
AV_TPA,Av. TPA,Double
SAP_TPA,TPA sapling (<=4.99DBH; not dead/snag),Double
POL_TPA,TPA pole (5-11.99DBH; not dead/snag),Double
SAW_TPA,TPA saw (12-17.99; not dead/snag),Double
MAT_TPA,TPA mature (18-23.99; not dead/snag),Double
OVM_TPA,TPA Over-Mature (>=24; not dead/snag),Double
SNAG_TPA,TPA snags (all sizes of dead/snag),Double
HRD_MAST,TPA hard mast trees (not dead/snag),Double
SFT_MAST,TPA soft mast trees (not dead/snag),Double
NUM_TR,# of count trees,Short integer
NUM_PL,# of plots,Short integer
COM_TYP,Community type code,Text
OV_CLSR,Av. Overstory closure,Double
OV_HT,Av. Overstory height,Double
UND_HT,Av. Understory height,Double
SPP_RICH,Species richness,Short integer
TR_AGE,Avg. age tree age,Double
STK_DENS,stocking density,Double
UND_COV,Av. Understory cover,Double
PRES_PLAN,prescription plan code,Text
QM_DBH,Quadratic mean DBH,Double
NUM_NOTE,# of notes,Short integer
ORIG_BY,Initials of stands original delineator,Text
ORIG_DATE,Date of stands original delineation,Text
MOD_BY,Initials of stands modifier,Text
MOD_DATE,Date of stands modification,Text
POOL,Pool or river reach,Text
COMP,Management compartment,Text
UNIT,Management unit,Text
SHAPE_Length,Perimeter of polygon (auto-generated),Double
SHAPE_Area,Area of polygon (auto-generated),Double
